code,industry,name
03759,Biotechnology,PHARMARON
03768,Utilities—Regulated Water,DCWT
03773,Software—Infrastructure,YS DIGIFAVOR
03774,Personal Services,FAMEGLOW
03778,,CHINA WEAVING
03788,Steel,HANKING GOLD
03789,Engineering & Construction,ROYAL DELUXE
03798,Electronic Gaming & Multimedia,HOMELAND ITL
03800,Solar,GCL TECH
03808,Farm & Heavy Construction Machinery,SINOTRUK
03813,Footwear & Accessories,POU SHENG INT'L
03816,Metal Fabrication,KFM KINGDOM
03818,Apparel Manufacturing,CHINA DONGXIANG
03822,Engineering & Construction,SAM WOO CONS
03828,Household & Personal Products,MING FAI INT'L
03830,Leisure,KIDDIELAND
03833,Other Industrial Metals & Mining,XINXIN MINING
03836,Auto & Truck Dealerships,HARMONY AUTO
03838,Packaged Foods,CHINA STARCH
03839,Drug Manufacturers—Specialty & Generic,CPBIO
03848,Credit Services,HAOSEN FINTECH
03858,Other Industrial Metals & Mining,JIAXIN INTL RES
03860,Apparel Retail,EPS HEALTH TECH
03866,Banks—Regional,BQD
03868,Utilities—Renewable,XINYI ENERGY
03869,,HOSPITAL CORP
03877,Rental & Leasing Services,CSSC SHIPPING
03878,Engineering & Construction,VICON HOLDINGS
03880,Biotechnology,MEDTIDE
03881,Farm & Heavy Construction Machinery,CIDI
03882,Security & Protection Services,SKYLIGHT HLDG
03883,Real Estate—Development,CHINA AOYUAN
03886,Medical Care Facilities,TOWN HEALTH
03887,Financial Data & Stock Exchanges,HASHKEY HLDGS
03888,Electronic Gaming & Multimedia,KINGSOFT
03889,Packaged Foods,GLOBAL CORN GP
03893,Consulting Services,CROSSTEC
03896,Software—Application,KINGSOFT CLOUD
03898,Railroads,TIMES ELECTRIC
03899,Oil & Gas Equipment & Services,CIMC ENRIC
03900,Real Estate—Development,GREENTOWN CHINA
03903,,HANHUA HOLDING
03908,Capital Markets,CICC
03913,Real Estate Services,KWG LIVING
03918,Resorts & Casinos,NAGACORP
03919,Electrical Equipment & Parts,GOLDENPOWER
03928,Engineering & Construction,CHINA NEXT-GEN
03931,Electrical Equipment & Parts,CALB
03933,Drug Manufacturers—Specialty & Generic,UNITED LAB
03938,Capital Markets,LFG INV HLDGS
03939,Gold,WANGUO GOLD GP
03952,Specialty Industrial Machinery,LAIFUAL
03958,Capital Markets,DFZQ
03963,Credit Services,RONGZHONG FIN
